City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Berlin,UCI Luxe East Side Gallery,1.90:1,IMAX CoLa,1.90:1,No,13.5 m,22.3 m,Yes
Karlsruhe,Filmpalast am ZKM & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,15.8 m,22.3 m,Yes
Leonberg,IMAX Leonberg,1.90:1,IMAX GT Laser,1.90:1,No,21.0 m,38.8 m,Yes
Sinsheim,"IMAX 3D, Sinsheim Auto & Technik Museum",1.43:1,IMAX GT Laser,1.43:1,No,22.0 m,27.0 m,Yes
Speyer,"IMAX Dome, Speyer Technik Museum",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,0 m,24.0 m,No
Bochum,Bochum UCI Kino Ruhrpark,1.90:1,IMAX Digital,1.90:1,No,9.7 m,17.3 m,Yes
Düsseldorf,UCI Kino Düsseldorf,1.90:1,IMAX Digital,1.90:1,No,7.3 m,14.0 m,Yes
Hamburg,UCI Kino Wandsbek,1.90:1,IMAX Digital,1.90:1,No,11.3 m,20.4 m,Yes
Bad Oeynhausen,UCI Bad Oeynhausen,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Kassel,Filmpalast Kassel,1.90:1,IMAX CoLa,1.90:1,No,9.90 m,18.54 m,Yes
Frankfurt,CineStar Metropolis,1.90:1,IMAX CoLa,1.90:1,No,11.3 m,21.34 m,Yes
Leipzig,Cinestar Leipzig,1.90:1,IMAX CoLa,1.90:1,No,10.19 m,20 m,Yes
Dortmund,CineStar Dortmund,1.90:1,IMAX CoLa,1.90:1,No,10.15 m,20.04 m,Yes
Oberhausen,CineStar Oberhausen,1.90:1,IMAX CoLa,1.90:1,No,9.35 m,17.6 m,Yes
Neu-Ulm,Cineplex Dietrich,1.90:1,IMAX CoLa,1.90:1,No,11.3 m,21.4 m,Yes
